region1,ccgt,power,2005-01-04 04:00:00,30000.0
region1,ccgt,power,2005-01-04 05:00:00,30000.0
region1,ccgt,power,2005-01-04 06:00:00,30000.0
region1,ccgt,power,2005-01-04 07:00:00,30000.0
region1,ccgt,power,2005-01-04 08:00:00,30000.0
region1,ccgt,power,2005-01-04 09:00:00,30000.0
region1,ccgt,power,2005-01-04 10:00:00,30000.0
region1,ccgt,power,2005-01-04 11:00:00,30000.0
region1,ccgt,power,2005-01-04 12:00:00,30000.0
region1,ccgt,power,2005-01-04 13:00:00,30000.0
region1,ccgt,power,2005-01-04 14:00:00,30000.0
region1,ccgt,power,2005-01-04 15:00:00,30000.0
region1,ccgt,power,2005-01-04 16:00:00,30000.0
region1,ccgt,power,2005-01-04 17:00:00,30000.0
region1,ccgt,power,2005-01-04 18:00:00,30000.0
region1,ccgt,power,2005-01-04 19:00:00,30000.0
region1,ccgt,power,2005-01-04 20:00:00,30000.0
region1,ccgt,power,2005-01-04 21:00:00,30000.0
region1,ccgt,power,2005-01-04 22:00:00,30000.0
region1,ccgt,power,2005-01-04 23:00:00,30000.0
region1,ccgt,power,2005-01-05 00:00:00,30000.0
region1,ccgt,power,2005-01-05 01:00:00,30000.0
region1,ccgt,power,2005-01-05 02:00:00,30000.0
region1,ccgt,power,2005-01-05 03:00:00,30000.0
region1,ccgt,power,2005-01-05 04:00:00,30000.0
region1,ccgt,power,2005-01-05 05:00:00,30000.0
region1,ccgt,power,2005-01-05 06:00:00,30000.0
region1,ccgt,power,2005-01-05 07:00:00,30000.0
region1,ccgt,power,2005-01-05 08:00:00,30000.0
region1,ccgt,power,2005-01-05 09:00:00,30000.0
region1,ccgt,power,2005-01-05 10:00:00,30000.0
region1,ccgt,power,2005-01-05 11:00:00,30000.0
region1,ccgt,power,2005-01-05 12:00:00,30000.0
region1,ccgt,power,2005-01-05 13:00:00,30000.0
region1,ccgt,power,2005-01-05 14:00:00,30000.0
region1,ccgt,power,2005-01-05 15:00:00,30000.0
region1,ccgt,power,2005-01-05 16:00:00,30000.0
region1,ccgt,power,2005-01-05 17:00:00,30000.0
region1,ccgt,power,2005-01-05 18:00:00,30000.0
region1,ccgt,power,2005-01-05 19:00:00,29561.3049411765
region1,ccgt,power,2005-01-05 20:00:00,27709.2795294118
region1,ccgt,power,2005-01-05 21:00:00,25234.128
region1,ccgt,power,2005-01-05 22:00:00,23042.504
region1,ccgt,power,2005-01-05 23:00:00,23598.9934571955
region1,free_transmission:region1-1,power,2005-01-01 00:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-01 01:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-01 02:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-01 03:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-01 04:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-01 05:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-01 06:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-01 07:00:00,983.161926335417
region1,free_transmission:region1-1,power,2005-01-01 08:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 09:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 10:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 11:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 12:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 13:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 14:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 15:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 16:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 17:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 18:00:00,9000.00000000005
region1,free_transmission:region1-1,power,2005-01-01 19:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 20:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 21:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-01 22:00:00,6082.91756149237
region1,free_transmission:region1-1,power,2005-01-01 23:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-02 00:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-02 01:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-02 02:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-02 03:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-02 04:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-02 05:00:00,1849.0494117647
region1,free_transmission:region1-1,power,2005-01-02 06:00:00,3665.99952941176
region1,free_transmission:region1-1,power,2005-01-02 07:00:00,4892.38447058823
region1,free_transmission:region1-1,power,2005-01-02 08:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 09:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 10:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 11:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 12:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 13:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 14:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 15:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 16:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 17:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-02 18:00:00,8560.87294117647
region1,free_transmission:region1-1,power,2005-01-02 19:00:00,7021.72094117647
region1,free_transmission:region1-1,power,2005-01-02 20:00:00,5291.02352941176
region1,free_transmission:region1-1,power,2005-01-02 21:00:00,2939.792
region1,free_transmission:region1-1,power,2005-01-02 22:00:00,893.479999999994
region1,free_transmission:region1-1,power,2005-01-02 23:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-03 00:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-03 01:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-03 02:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-03 03:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-03 04:00:00,1607.24141176471
region1,free_transmission:region1-1,power,2005-01-03 05:00:00,4470.9854117647
region1,free_transmission:region1-1,power,2005-01-03 06:00:00,6429.45552941174
region1,free_transmission:region1-1,power,2005-01-03 07:00:00,7491.40847058824
region1,free_transmission:region1-1,power,2005-01-03 08:00:00,8141.472
region1,free_transmission:region1-1,power,2005-01-03 09:00:00,8436.096
region1,free_transmission:region1-1,power,2005-01-03 10:00:00,8172.71152941177
region1,free_transmission:region1-1,power,2005-01-03 11:00:00,7865.57552941177
region1,free_transmission:region1-1,power,2005-01-03 12:00:00,7715.2974117647
region1,free_transmission:region1-1,power,2005-01-03 13:00:00,8009.25694117647
region1,free_transmission:region1-1,power,2005-01-03 14:00:00,8926.32047058824
region1,free_transmission:region1-1,power,2005-01-03 15:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-03 16:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-03 17:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-03 18:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-03 19:00:00,8083.24094117646
region1,free_transmission:region1-1,power,2005-01-03 20:00:00,6314.16894117647
region1,free_transmission:region1-1,power,2005-01-03 21:00:00,4065.36894117647
region1,free_transmission:region1-1,power,2005-01-03 22:00:00,2202.08894117647
region1,free_transmission:region1-1,power,2005-01-03 23:00:00,991.912941176362
region1,free_transmission:region1-1,power,2005-01-04 00:00:00,265.384941176467
region1,free_transmission:region1-1,power,2005-01-04 01:00:00,0.0
region1,free_transmission:region1-1,power,2005-01-04 02:00:00,95.4009411764699
region1,free_transmission:region1-1,power,2005-01-04 03:00:00,643.272941176467
region1,free_transmission:region1-1,power,2005-01-04 04:00:00,2579.81187681277
region1,free_transmission:region1-1,power,2005-01-04 05:00:00,5088.9374117647
region1,free_transmission:region1-1,power,2005-01-04 06:00:00,7077.26352941176
region1,free_transmission:region1-1,power,2005-01-04 07:00:00,8110.57647058824
region1,free_transmission:region1-1,power,2005-01-04 08:00:00,8726.528
region1,free_transmission:region1-1,power,2005-01-04 09:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-04 10:00:00,8854.51292553365
region1,free_transmission:region1-1,power,2005-01-04 11:00:00,8535.81552941176
region1,free_transmission:region1-1,power,2005-01-04 12:00:00,8404.6414117647
region1,free_transmission:region1-1,power,2005-01-04 13:00:00,8587.80094117646
region1,free_transmission:region1-1,power,2005-01-04 14:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-04 15:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-04 16:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-04 17:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-04 18:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-04 19:00:00,8594.60094117647
region1,free_transmission:region1-1,power,2005-01-04 20:00:00,6875.08094117647
region1,free_transmission:region1-1,power,2005-01-04 21:00:00,4535.91294117647
region1,free_transmission:region1-1,power,2005-01-04 22:00:00,2594.10494117647
region1,free_transmission:region1-1,power,2005-01-04 23:00:00,1314.61694117647
region1,free_transmission:region1-1,power,2005-01-05 00:00:00,604.200941176466
region1,free_transmission:region1-1,power,2005-01-05 01:00:00,336.184941176469
region1,free_transmission:region1-1,power,2005-01-05 02:00:00,456.264941176468
region1,free_transmission:region1-1,power,2005-01-05 03:00:00,1043.78494117647
region1,free_transmission:region1-1,power,2005-01-05 04:00:00,3305.54494117647
region1,free_transmission:region1-1,power,2005-01-05 05:00:00,6210.56351311718
region1,free_transmission:region1-1,power,2005-01-05 06:00:00,7625.42352941177
region1,free_transmission:region1-1,power,2005-01-05 07:00:00,8659.23247058823
region1,free_transmission:region1-1,power,2005-01-05 08:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 09:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 10:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 11:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 12:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 13:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 14:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 15:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 16:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 17:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 18:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 19:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 20:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 21:00:00,9000.0
region1,free_transmission:region1-1,power,2005-01-05 22:00:00,9000.00000000001
region1,free_transmission:region1-1,power,2005-01-05 23:00:00,7234.03101339273
region1,free_transmission:region1-2,power,2005-01-01 00:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 01:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 02:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 03:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 04:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 05:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 06:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 07:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 08:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 09:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 10:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 11:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 12:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 13:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 14:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 15:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 16:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 17:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 18:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 19:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 20:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 21:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 22:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-01 23:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 00:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 01:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 02:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 03:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 04:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 05:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 06:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 07:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 08:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 09:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 10:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 11:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 12:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 13:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 14:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 15:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 16:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 17:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 18:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 19:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 20:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 21:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 22:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-02 23:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 00:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 01:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 02:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 03:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 04:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 05:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 06:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 07:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 08:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 09:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 10:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 11:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 12:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 13:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 14:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 15:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 16:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 17:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 18:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 19:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 20:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 21:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 22:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-03 23:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 00:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 01:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 02:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 03:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 04:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 05:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 06:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 07:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 08:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 09:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 10:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 11:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 12:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 13:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 14:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 15:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 16:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 17:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 18:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 19:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 20:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 21:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 22:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-04 23:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 00:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 01:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 02:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 03:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 04:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 05:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 06:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 07:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 08:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 09:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 10:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 11:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 12:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 13:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 14:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 15:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 16:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 17:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 18:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 19:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 20:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 21:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 22:00:00,0.0
region1,free_transmission:region1-2,power,2005-01-05 23:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 00:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 01:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 02:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 03:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 04:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 05:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 06:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 07:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 08:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 09:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 10:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 11:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 12:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 13:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 14:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 15:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 16:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 17:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 18:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 19:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 20:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 21:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 22:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-01 23:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 00:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 01:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 02:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 03:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 04:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 05:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 06:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 07:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 08:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 09:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 10:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 11:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 12:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 13:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 14:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 15:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 16:00:00,66.2898823529392
region1,free_transmission:region1-3,power,2005-01-02 17:00:00,36.6654117647106
region1,free_transmission:region1-3,power,2005-01-02 18:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 19:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 20:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 21:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 22:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-02 23:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 00:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 01:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 02:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 03:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 04:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 05:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 06:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 07:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 08:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 09:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 10:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 11:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 12:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 13:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 14:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 15:00:00,217.257411764711
region1,free_transmission:region1-3,power,2005-01-03 16:00:00,2280.38588235294
region1,free_transmission:region1-3,power,2005-01-03 17:00:00,1401.08141176471
region1,free_transmission:region1-3,power,2005-01-03 18:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 19:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 20:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 21:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 22:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-03 23:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 00:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 01:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 02:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 03:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 04:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 05:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 06:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 07:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 08:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 09:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 10:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 11:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 12:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 13:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 14:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 15:00:00,662.313411764707
region1,free_transmission:region1-3,power,2005-01-04 16:00:00,2208.83388235294
region1,free_transmission:region1-3,power,2005-01-04 17:00:00,1933.67341176471
region1,free_transmission:region1-3,power,2005-01-04 18:00:00,161.25882352941
region1,free_transmission:region1-3,power,2005-01-04 19:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 20:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 21:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 22:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-04 23:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 00:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 01:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 02:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 03:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 04:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 05:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 06:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 07:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 08:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 09:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 10:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 11:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 12:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 13:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 14:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 15:00:00,919.609411764712
region1,free_transmission:region1-3,power,2005-01-05 16:00:00,2280.38588235294
region1,free_transmission:region1-3,power,2005-01-05 17:00:00,1829.65741176471
region1,free_transmission:region1-3,power,2005-01-05 18:00:00,93.0188235294135
region1,free_transmission:region1-3,power,2005-01-05 19:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 20:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 21:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 22:00:00,0.0
region1,free_transmission:region1-3,power,2005-01-05 23:00:00,0.0
region2,ac_transmission:region1,power,2005-01-01 00:00:00,2254.098
region2,ac_transmission:region1,power,2005-01-01 01:00:00,2131.148
region2,ac_transmission:region1,power,2005-01-01 02:00:00,2090.164
region2,ac_transmission:region1,power,2005-01-01 03:00:00,2131.148
region2,ac_transmission:region1,power,2005-01-01 04:00:00,2172.132
region2,ac_transmission:region1,power,2005-01-01 05:00:00,2172.132
region2,ac_transmission:region1,power,2005-01-01 06:00:00,2213.114
region2,ac_transmission:region1,power,2005-01-01 07:00:00,2295.082
region2,ac_transmission:region1,power,2005-01-01 08:00:00,2459.016
region2,ac_transmission:region1,power,2005-01-01 09:00:00,2459.016
region2,ac_transmission:region1,power,2005-01-01 10:00:00,2745.902
region2,ac_transmission:region1,power,2005-01-01 11:00:00,2745.902
region2,ac_transmission:region1,power,2005-01-01 12:00:00,2745.902
region2,ac_transmission:region1,power,2005-01-01 13:00:00,2745.902
region2,ac_transmission:region1,power,2005-01-01 14:00:00,2745.902
region2,ac_transmission:region1,power,2005-01-01 15:00:00,2745.902
region2,ac_transmission:region1,power,2005-01-01 16:00:00,2745.902
